Player,Pos,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live
Alisson,GK,26,1027,785,1002,25,0,0,1027
Mohamed Salah,FW,25.7,981,3,58,313,620,180,981
Trent Alexander-Arnold,DF,21.5,2007,58,458,1013,548,31,2007
Virgil van Dijk,DF,21.5,1814,242,868,873,77,39,1814
Andrew Robertson,DF,19.7,1553,48,449,629,484,44,1553
Fabinho,MF,18.7,1258,56,290,769,200,13,1258
Harvey Elliott,"MF,FW",15.9,1009,12,126,474,418,44,1009
Darwin Núñez,FW,15,475,8,34,136,313,128,475
Jordan Henderson,MF,14,1090,26,197,651,249,23,1090
Thiago Alcántara,MF,12.8,1122,41,257,702,168,7,1122
Joe Gomez,DF,14.3,1355,97,544,764,55,4,1355
Roberto Firmino,"FW,MF",11.5,617,3,60,315,243,72,617
Joël Matip,DF,9.1,757,90,377,344,43,9,757
Cody Gakpo,FW,7.3,199,4,12,89,101,25,199
Ibrahima Konaté,DF,7.2,456,49,240,203,15,9,456
Luis Díaz,FW,6.8,338,3,23,147,172,45,338
James Milner,"MF,DF",8,618,20,144,285,191,21,618
Kostas Tsimikas,DF,6,503,18,121,175,209,22,503
Stefan Bajcetic,MF,5.8,264,7,54,153,60,5,264
Diogo Jota,"FW,MF",5,208,9,26,96,89,27,208
Fabio Carvalho,"MF,FW",3.8,183,2,31,69,86,26,183
Alex Oxlade-Chamberlain,"FW,MF",3.5,145,3,17,67,64,15,145
Naby Keïta,MF,3.3,206,5,34,114,59,11,206
Curtis Jones,"MF,FW",2.2,174,4,28,84,63,10,174
Nathaniel Phillips,DF,0.7,89,3,26,63,2,1,89
Ben Doak,FW,0.3,22,0,4,10,10,2,22
Bobby Clark,MF,0.1,7,0,0,0,7,1,7